season,week,day,cycle,gospel,chapter,notes
ADVENT,1,SUN,A,Mt,24,
ADVENT,1,SUN,B,Mk,13,
ADVENT,1,SUN,C,Lk,21,
ADVENT,1,MON,ALL,Lk,10,
ADVENT,1,TUE,ALL,Mt,15,
ADVENT,1,WED,ALL,Lk,10,
ADVENT,1,THU,ALL,Mt,15,
ADVENT,1,FRI,ALL,Mt,9,
ADVENT,1,SAT,ALL,Lk,20,
ADVENT,2,SUN,A,Mt,3,
ADVENT,2,SUN,B,Mk,1,
ADVENT,2,SUN,C,Lk,3,
ADVENT,2,MON,ALL,Lk,5,
ADVENT,2,TUE,ALL,Mt,17,
ADVENT,2,WED,ALL,Mt,11,
ADVENT,2,THU,ALL,Mt,11,
ADVENT,2,FRI,ALL,Lk,7,
ADVENT,2,SAT,ALL,Mt,17,
ADVENT,3,SUN,A,Mt,11,
ADVENT,3,SUN,B,Jn,1,
ADVENT,3,SUN,C,Lk,3,
ADVENT,3,MON,ALL,Mt,21,
ADVENT,3,TUE,ALL,Jn,1,
ADVENT,3,WED,ALL,Mt,21,
ADVENT,3,THU,ALL,Lk,7,
ADVENT,3,FRI,ALL,Lk,7,
ADVENT,3,SAT,ALL,Jn,1,
ADVENT,4,SUN,A,Mt,1,
ADVENT,4,SUN,B,Lk,1,
ADVENT,4,SUN,C,Lk,1,
ADVENT,4,MON,ALL,Mt,1,Dec 17-18
ADVENT,4,TUE,ALL,Mt,1,Dec 19
ADVENT,4,WED,ALL,Lk,1,Dec 20-21
ADVENT,4,THU,ALL,Lk,1,Dec 22
ADVENT,4,FRI,ALL,Lk,1,Dec 23
ADVENT,4,SAT,ALL,Lk,1,Dec 24
CHRISTMAS,1,SUN,ALL,Jn,1,Christmas Day Dec 25
CHRISTMAS,2,SUN,A,Mt,2,Holy Family
CHRISTMAS,2,SUN,B,Lk,2,Holy Family
CHRISTMAS,2,SUN,C,Lk,2,Holy Family
CHRISTMAS,3,SUN,ALL,Jn,1,2nd Sunday of Christmas
CHRISTMAS,1,MON,ALL,Jn,1,Dec 26
CHRISTMAS,1,TUE,ALL,Jn,1,Dec 27
CHRISTMAS,1,WED,ALL,Jn,1,Dec 28
CHRISTMAS,1,THU,ALL,Jn,1,Dec 29
CHRISTMAS,1,FRI,ALL,Jn,1,Dec 30
CHRISTMAS,1,SAT,ALL,Jn,1,Dec 31
CHRISTMAS,2,MON,ALL,Jn,1,Jan 2
CHRISTMAS,2,TUE,ALL,Jn,1,Jan 3
CHRISTMAS,2,WED,ALL,Jn,2,Jan 4
CHRISTMAS,2,THU,ALL,Jn,2,Jan 5
CHRISTMAS,2,FRI,ALL,Mt,2,Jan 6 (Epiphany in some countries)
CHRISTMAS,2,SAT,ALL,Jn,1,Jan 7
LENT,1,SUN,A,Mt,4,
LENT,1,SUN,B,Mk,1,
LENT,1,SUN,C,Lk,4,
LENT,1,MON,ALL,Mt,25,Mon after Ash Wed
LENT,1,TUE,ALL,Mt,6,Tue after Ash Wed
LENT,1,WED,ALL,Mt,6,Ash Wednesday
LENT,1,THU,ALL,Lk,11,
LENT,1,FRI,ALL,Mt,7,
LENT,1,SAT,ALL,Mt,5,
LENT,2,SUN,A,Mt,17,
LENT,2,SUN,B,Mk,9,
LENT,2,SUN,C,Lk,9,
LENT,2,MON,ALL,Lk,6,
LENT,2,TUE,ALL,Mt,23,
LENT,2,WED,ALL,Lk,13,
LENT,2,THU,ALL,Mt,20,
LENT,2,FRI,ALL,Lk,15,
LENT,2,SAT,ALL,Lk,15,
LENT,3,SUN,A,Jn,4,
LENT,3,SUN,B,Jn,2,
LENT,3,SUN,C,Jn,4,
LENT,3,MON,ALL,Lk,4,
LENT,3,TUE,ALL,Mt,5,
LENT,3,WED,ALL,Lk,11,
LENT,3,THU,ALL,Jn,4,
LENT,3,FRI,ALL,Mk,12,
LENT,3,SAT,ALL,Lk,18,
LENT,4,SUN,A,Jn,9,
LENT,4,SUN,B,Jn,3,
LENT,4,SUN,C,Lk,15,
LENT,4,MON,ALL,Jn,4,
LENT,4,TUE,ALL,Jn,5,
LENT,4,WED,ALL,Jn,5,
